城市,时间,SO2(μg/m3),NO2(μg/m3),NOx(μg/m3),NO(μg/m3),CO(mg/m3),O3(μg/m3),PM10(μg/m3),PM2.5(μg/m3),AQI,等级,首要污染物
渭南市,2026-04-26 01:00,8,33,39,4,0.6,57,75,31,68,良,PM10
咸阳市,2026-04-26 01:00,6,29,31,2,0.6,64,89,41,78,良,PM10
渭南市,2026-04-26 02:00,8,31,39,5,0.7,54,73,30,67,良,PM10
咸阳市,2026-04-26 02:00,6,26,28,2,0.7,59,85,39,75,良,PM10
咸阳市,2026-04-26 03:00,6,27,29,2,0.7,53,83,39,74,良,PM10
渭南市,2026-04-26 03:00,8,37,51,9,0.7,38,69,29,64,良,PM10
渭南市,2026-04-26 04:00,8,37,44,5,0.7,33,69,29,64,良,PM10
咸阳市,2026-04-26 04:00,5,29,31,2,0.7,41,78,37,70,良,PM10
渭南市,2026-04-26 05:00,9,32,35,2,0.8,35,68,30,63,良,PM10
咸阳市,2026-04-26 05:00,5,29,31,2,0.7,32,77,38,70,良,PM10
咸阳市,2026-04-26 06:00,5,26,29,3,0.7,28,77,37,70,良,PM10
渭南市,2026-04-26 06:00,8,31,35,3,0.7,32,66,30,62,良,PM10
咸阳市,2026-04-26 07:00,5,27,33,4,0.7,26,74,35,68,良,PM10
渭南市,2026-04-26 07:00,8,35,45,7,0.8,30,73,33,67,良,PM10
渭南市,2026-04-26 08:00,10,35,48,9,0.9,30,77,37,70,良,PM10
咸阳市,2026-04-26 08:00,5,24,35,7,0.8,33,78,37,70,良,PM10
渭南市,2026-04-26 09:00,14,29,40,8,0.9,51,84,40,75,良,PM10
咸阳市,2026-04-26 09:00,6,23,32,6,0.8,51,80,38,72,良,PM10
渭南市,2026-04-26 10:00,16,23,31,5,1.1,75,87,42,77,良,PM10
咸阳市,2026-04-26 10:00,7,19,26,4,0.7,76,80,36,72,良,PM10
渭南市,2026-04-26 11:00,16,21,28,4,1,94,93,43,81,良,PM10
咸阳市,2026-04-26 11:00,8,17,21,3,0.6,99,81,36,73,良,PM10
渭南市,2026-04-26 12:00,16,19,24,3,0.9,123,89,42,78,良,PM10
咸阳市,2026-04-26 12:00,8,16,20,2,0.6,119,82,36,73,良,PM10
渭南市,2026-04-26 13:00,12,17,21,3,0.9,145,86,40,76,良,PM10
咸阳市,2026-04-26 13:00,8,15,18,2,0.6,144,83,36,74,良,PM10
渭南市,2026-04-26 14:00,13,14,17,2,0.8,164,84,36,75,良,PM10
咸阳市,2026-04-26 14:00,7,12,14,2,0.6,166,78,33,70,良,PM10
渭南市,2026-04-26 15:00,13,12,15,2,0.7,175,80,31,72,良,PM10
咸阳市,2026-04-26 15:00,7,12,13,2,0.6,180,75,32,75,良,O3
渭南市,2026-04-26 16:00,10,11,14,2,0.7,172,82,28,73,良,PM10
咸阳市,2026-04-26 16:00,6,12,14,2,0.6,184,74,31,80,良,O3
渭南市,2026-04-26 17:00,9,11,13,2,0.7,166,72,27,66,良,PM10
咸阳市,2026-04-26 17:00,6,11,12,2,0.6,185,78,30,82,良,O3
西安市,2026-04-26 01:00,6,44,48,4,0.6,45,85,34,75,良,PM10
西安市,2026-04-26 02:00,6,39,42,3,0.6,47,82,35,73,良,PM10
西安市,2026-04-26 03:00,6,35,38,4,0.6,44,78,34,70,良,PM10
西安市,2026-04-26 04:00,6,37,43,6,0.6,38,80,34,72,良,PM10
西安市,2026-04-26 05:00,6,39,46,10,0.6,30,80,35,72,良,PM10
西安市,2026-04-26 06:00,6,42,52,11,0.6,24,85,37,75,良,PM10
西安市,2026-04-26 07:00,5,41,52,7,0.6,23,87,40,77,良,PM10
西安市,2026-04-26 08:00,6,36,48,7,0.7,33,87,43,77,良,PM10
西安市,2026-04-26 09:00,7,29,37,5,0.7,53,90,44,79,良,PM10
西安市,2026-04-26 10:00,7,26,31,4,0.7,73,94,44,82,良,PM10
西安市,2026-04-26 11:00,8,22,25,3,0.6,100,94,42,82,良,PM10
