城市,城市编码,时间,SO2(μg/m3),NO2(μg/m3),CO(mg/m3),O3_8H(μg/m3),PM10(μg/m3),PM2.5(μg/m3),AQI,等级,首要污染物
西安市,610100,2026-04-01,6,40,0.5,115,74,30,68,良,PM10
西安市,610100,2026-04-02,7,36,0.6,111,84,43,75,良,PM10
西安市,610100,2026-04-03,5,25,0.4,105,153,34,113,轻度污染,PM10
西安市,610100,2026-04-04,6,39,0.5,70,175,40,122,轻度污染,PM10
西安市,610100,2026-04-05,5,34,0.5,115,115,32,97,良,PM10
西安市,610100,2026-04-06,8,34,0.6,110,125,34,102,轻度污染,PM10
西安市,610100,2026-04-07,8,39,0.7,101,138,46,107,轻度污染,PM10
西安市,610100,2026-04-08,5,16,0.6,96,80,49,78,良,PM2.5
西安市,610100,2026-04-09,5,24,0.7,116,73,41,67,良,PM10
西安市,610100,2026-04-10,6,38,0.6,117,90,33,79,良,PM10
西安市,610100,2026-04-11,6,44,0.6,54,91,38,80,良,PM10
西安市,610100,2026-04-12,5,30,0.7,108,68,39,63,良,PM10
西安市,610100,2026-04-13,6,23,0.7,121,67,40,68,良,O3_8H
西安市,610100,2026-04-14,6,23,0.7,141,65,38,85,良,O3_8H
西安市,610100,2026-04-15,6,21,0.6,100,59,30,57,良,PM10
西安市,610100,2026-04-16,5,17,0.5,119,57,17,66,良,O3_8H
西安市,610100,2026-04-17,5,31,0.5,129,77,23,75,良,O3_8H
西安市,610100,2026-04-18,7,30,0.6,140,78,27,84,良,O3_8H
西安市,610100,2026-04-19,6,23,0.5,77,295,89,173,中度污染,PM10
西安市,610100,2026-04-20,5,11,0.4,80,126,43,103,轻度污染,PM10
西安市,610100,2026-04-21,4,11,0.5,78,63,13,60,良,PM10
西安市,610100,2026-04-22,4,16,0.5,107,25,10,56,良,O3_8H
西安市,610100,2026-04-23,5,28,0.5,131,48,20,76,良,O3_8H
西安市,610100,2026-04-24,5,25,0.5,130,78,28,75,良,O3_8H
西安市,610100,2026-04-25,6,25,0.5,136,76,27,80,良,O3_8H
西安市,610100,2026-04-26,6,28,0.6,179,86,36,118,轻度污染,O3_8H
西安市,610100,2026-04-27,6,30,0.6,129,105,33,90,良,PM10
西安市,610100,2026-04-28,8,33,0.6,100,127,38,103,轻度污染,PM10
西安市,610100,2026-04-29,7,19,0.6,138,83,33,82,良,O3_8H
西安市,610100,2026-04-30,7,23,0.6,141,67,25,85,良,O3_8H
,,,,,,,,,,,
